apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
35.56,,2013-12-01 00:00:00,9.16,0.33,clear-night,0,0,,Clear,35.56,1385827200,0.0,6.206,18.0,4.99,1.58
29.21,,2013-12-01 01:00:00,9.89,0.39,clear-night,0,0,,Clear,32.05,1385830800,0.0,6.206,0.0,3.11,3.11
30.99,,2013-12-01 02:00:00,10.43,0.42,clear-night,0,0,1025.8,Clear,30.99,1385834400,0.0,6.206,20.0,1.04,1.04
29.08,,2013-12-01 03:00:00,11.77,0.48,clear-night,0,0,,Clear,29.08,1385838000,0.0,6.206,34.0,2.99,1.58
30.43,,2013-12-01 04:00:00,9.29,0.41,clear-night,0,0,,Clear,30.43,1385841600,0.0,6.206,19.0,2.61,2.61
29.08,,2013-12-01 05:00:00,8.59,0.42,clear-night,0,0,1025.08,Clear,29.08,1385845200,0.0,6.206,200.0,1.04,1.04
26.87,,2013-12-01 06:00:00,9.56,0.48,clear-night,0,0,,Clear,26.87,1385848800,0.0,6.206,341.0,1.04,1.04
29.38,,2013-12-01 07:00:00,8.73,0.41,clear-night,0,0,,Clear,29.38,1385852400,0.0,6.206,330.0,2.08,2.08
25.9,,2013-12-01 08:00:00,10.81,0.46,clear-night,0,0,1025.61,Clear,29.13,1385856000,,6.206,350.0,3.11,3.11
34.3,,2013-12-01 09:00:00,9.89,0.36,clear-night,0,0,,Clear,34.3,1385859600,,6.206,11.0,2.01,1.04
40.86,,2013-12-01 10:00:00,9.55,0.27,clear-night,0,0,,Clear,40.86,1385863200,,6.206,,2.99,1.04
45.4,,2013-12-01 11:00:00,8.93,0.21,clear-night,0,0,1024.99,Clear,46.35,1385866800,,6.206,324.0,4.0,3.15
46.18,,2013-12-01 12:00:00,3.24,0.16,clear-night,0,0,,Clear,47.97,1385870400,,6.206,300.0,,4.48
48.35,,2013-12-01 13:00:00,8.57,0.19,clear-night,0,0,,Clear,49.32,1385874000,,6.206,276.0,4.0,3.65
51.77,,2013-12-01 14:00:00,7.78,0.17,clear-night,0,0,1021.71,Clear,51.77,1385877600,,6.206,248.0,11.52,3.65
53.14,,2013-12-01 15:00:00,6.83,0.15,clear-night,0,0,,Clear,53.14,1385881200,,6.206,244.0,10.44,4.19
51.77,,2013-12-01 16:00:00,7.78,0.17,clear-night,0,0,,Clear,51.77,1385884800,,6.206,236.0,11.52,4.19
46.99,,2013-12-01 17:00:00,11.19,0.22,clear-night,0,0,1021.2,Clear,48.49,1385888400,0.0,6.206,208.0,4.19,4.19
45.7,,2013-12-01 18:00:00,11.96,0.24,clear-night,0,0,,Clear,46.58,1385892000,0.0,6.206,210.0,3.11,3.11
43.57,,2013-12-01 19:00:00,13.46,0.27,clear-night,0,0,,Clear,45.52,1385895600,0.0,6.206,210.0,10.93,4.15
41.64,0.25,2013-12-01 20:00:00,14.54,0.33,partly-cloudy-night,0,0,1021.41,Partly Cloudy,41.64,1385899200,0.0,6.206,180.0,10.4,2.08
38.59,0.0,2013-12-01 21:00:00,15.91,0.39,clear-night,0,0,,Clear,38.59,1385902800,0.0,4.346,180.0,2.08,2.08
37.29,0.0,2013-12-01 22:00:00,16.09,0.42,clear-night,0,0,,Clear,37.29,1385906400,0.0,4.346,341.0,2.61,2.61
32.87,,2013-12-01 23:00:00,16.78,0.51,clear-night,0,0,1020.91,Clear,32.87,1385910000,0.0,3.73,20.0,1.04,1.04
32.05,0.0,2013-12-02 00:00:00,15.38,0.5,clear-night,0,0,,Clear,32.05,1385913600,0.0,3.108,30.0,2.01,1.04
31.52,0.0,2013-12-02 01:00:00,16.01,0.52,clear-night,0,0,,Clear,31.52,1385917200,0.0,3.73,0.0,2.08,2.08
30.43,,2013-12-02 02:00:00,16.63,0.56,clear-night,0,0,1020.21,Clear,30.43,1385920800,0.0,4.346,350.0,2.08,2.08
25.85,0.0,2013-12-02 03:00:00,14.46,0.54,clear-night,0,0,,Clear,29.08,1385924400,0.0,4.346,341.0,3.11,3.11
31.26,0.0,2013-12-02 04:00:00,13.11,0.47,clear-night,0,0,,Clear,31.26,1385928000,0.0,4.974,11.0,2.08,2.08
24.9,,2013-12-02 05:00:00,13.94,0.55,clear-night,0,0,1019.22,Clear,28.24,1385931600,0.0,4.974,350.0,4.0,3.11
29.08,,2013-12-02 06:00:00,13.69,0.52,clear-night,0,0,,Clear,29.08,1385935200,0.0,6.206,356.0,6.0,2.61
23.87,,2013-12-02 07:00:00,12.37,0.5,clear-night,0,0,,Clear,28.55,1385938800,0.0,6.206,1.0,4.19,4.19
28.34,0.13,2013-12-02 08:00:00,14.42,0.48,partly-cloudy-day,0,0,1019.89,Partly Cloudy,31.88,1385942400,0.0,6.206,320.0,3.65,3.65
31.52,,2013-12-02 09:00:00,13.03,0.4,clear-night,0,0,,Clear,35.15,1385946000,,6.206,7.0,6.0,4.19
39.79,,2013-12-02 10:00:00,12.95,0.33,clear-night,0,0,,Clear,39.79,1385949600,,6.206,341.0,2.08,2.08
43.61,0.25,2013-12-02 11:00:00,11.23,0.26,partly-cloudy-day,0,0,1019.22,Partly Cloudy,43.61,1385953200,2.0,6.206,320.0,2.08,2.08
48.24,,2013-12-02 12:00:00,10.31,0.21,clear-night,0,0,,Clear,48.24,1385956800,,6.206,350.0,2.08,2.08
49.32,,2013-12-02 13:00:00,11.19,0.21,clear-night,0,0,,Clear,49.32,1385960400,,6.206,320.0,2.99,2.08
52.06,0.88,2013-12-02 14:00:00,11.62,0.2,cloudy,0,0,1017.38,Overcast,52.06,1385964000,1.0,6.206,180.0,2.01,1.04
51.77,,2013-12-02 15:00:00,11.62,0.2,clear-night,0,0,,Clear,51.77,1385967600,,6.206,,1.04,1.04
51.77,,2013-12-02 16:00:00,10.79,0.19,clear-night,0,0,,Clear,51.77,1385971200,,6.206,199.0,2.61,2.61
46.52,0.75,2013-12-02 17:00:00,13.73,0.26,partly-cloudy-night,0,0,1017.49,Mostly Cloudy,46.52,1385974800,0.0,6.206,210.0,2.08,2.08
43.79,0.0,2013-12-02 18:00:00,15.33,0.31,clear-night,0,0,,Clear,43.79,1385978400,0.0,4.974,,0.0,0.0
40.19,0.0,2013-12-02 19:00:00,15.21,0.36,clear-night,0,0,,Clear,40.19,1385982000,0.0,4.346,50.0,1.04,1.04
38.59,0.88,2013-12-02 20:00:00,16.05,0.4,cloudy,0,0,1019.42,Overcast,38.59,1385985600,0.0,3.73,120.0,1.04,1.04
35.84,0.0,2013-12-02 21:00:00,17.35,0.47,clear-night,0,0,,Clear,35.84,1385989200,0.0,3.73,11.0,2.08,2.08
36.45,0.0,2013-12-02 22:00:00,16.35,0.44,clear-night,0,0,,Clear,36.45,1385992800,0.0,3.73,356.0,2.99,2.61
36.45,,2013-12-02 23:00:00,16.36,0.44,clear-night,0,0,1020.7,Clear,36.45,1385996400,0.0,3.73,0.0,2.08,2.08
33.1,0.0,2013-12-03 00:00:00,14.94,0.4,clear-night,0,0,,Clear,37.29,1386000000,0.0,3.73,349.0,5.23,5.23
31.09,0.0,2013-12-03 01:00:00,14.62,0.43,clear-night,0,0,,Clear,34.77,1386003600,0.0,4.346,8.0,6.0,4.19
29.62,,2013-12-03 02:00:00,14.34,0.44,clear-night,0,0,1020.62,Clear,33.96,1386007200,0.0,4.346,8.0,7.99,4.72
29.18,,2013-12-03 03:00:00,14.34,0.46,clear-night,0,0,,Clear,33.13,1386010800,0.0,6.206,349.0,4.99,4.19
30.68,,2013-12-03 04:00:00,14.02,0.43,clear-night,0,0,,Clear,33.96,1386014400,0.0,6.206,327.0,6.0,3.68
