date,prior_days,prior_hours,learning_rate,dropout,gc_dims,lstm_dims,dense_dims,label_range,range,mae
2020-07-27,3,4,0.002975400766587741,0.1,"[27, 27]","[11, 11]","[3, 1]","(0.0, 1.0)","(0.0, 0.10613851)",0.08407633120407026
2020-07-27,3,4,0.005639335929595444,0.1,[11],[28],"[9, 1]","(0.0, 1.0)","(0.0, 0.2983499)",0.10484256669959657
2020-07-27,3,4,0.005639335929595444,0.1,[11],[28],"[9, 1]","(0.0, 1.0)","(0.0, 0.66831714)",0.1614817610158549
2020-07-27,3,4,0.005146154424413508,0.1,[14],"[11, 11]","[15, 1]","(0.0, 1.0)","(0.0, 0.13988869)",0.12786933759719307
2020-07-27,3,4,0.005146154424413508,0.1,[14],"[11, 11]","[15, 1]","(0.0, 1.0)","(0.06800644, 0.1967404)",0.1607350217564589
2020-07-27,3,4,0.0010210893816047979,0.1,"[13, 13]",[12],"[5, 1]","(0.0, 1.0)","(0.0, 0.55893224)",0.08472693677680188
2020-07-27,3,4,0.0010210893816047979,0.1,"[13, 13]",[12],"[5, 1]","(0.0, 1.0)","(0.0, 0.08493052)",0.07805252104562474
2020-07-27,3,4,0.0010210893816047979,0.1,"[13, 13]",[12],"[5, 1]","(0.0, 1.0)","(0.0, 0.15891254)",0.0689686930050276
2020-07-27,3,4,0.0014336353948561833,0.1,"[17, 17]","[8, 8]",[1],"(0.0, 1.0)","(0.0, 0.12184622)",0.11196104622012454
2020-07-27,3,4,0.0014336353948561833,0.1,"[17, 17]","[8, 8]",[1],"(0.0, 1.0)","(0.0, 0.21604247)",0.18437554380540977
2020-07-27,3,4,0.0014336353948561833,0.1,"[17, 17]","[8, 8]",[1],"(0.0, 1.0)","(0.014908941, 0.33519268)",0.15959601670707876
2020-07-27,3,4,0.003649653323033944,0.1,"[18, 18]",[10],"[4, 1]","(0.0, 1.0)","(0.0, 0.41166183)",0.2146457079247548
2020-07-27,3,4,0.003649653323033944,0.1,"[18, 18]",[10],"[4, 1]","(0.0, 1.0)","(0.0, 0.4130833)",0.07982080824028892
2020-07-27,3,4,0.003649653323033944,0.1,"[18, 18]",[10],"[4, 1]","(0.0, 1.0)","(0.0, 0.66582143)",0.06555532695142599
2020-08-11,3,4,0.006063258926379206,0.1,"[16, 16]",[13],"[5, 1]","(0.0, 1.0)","(0.0, 0.05357603)",0.07369401415700083
2020-08-11,3,4,0.006063258926379206,0.1,"[16, 16]",[13],"[5, 1]","(0.0, 1.0)","(0.0, 0.26468948)",0.0651367259773187
2020-08-11,3,4,0.006063258926379206,0.1,"[16, 16]",[13],"[5, 1]","(0.0, 1.0)","(0.0, 0.8848293)",0.11433594083662851
2020-08-11,3,4,0.0011764203466673258,0.1,[11],"[11, 11]",[1],"(0.0, 1.0)","(0.0, 0.06916386)",0.05936821247462381
2020-08-11,3,4,0.0011764203466673258,0.1,[11],"[11, 11]",[1],"(0.0, 1.0)","(0.0, 0.2538568)",0.18079042079596466
2020-08-11,3,4,0.0011764203466673258,0.1,[11],"[11, 11]",[1],"(0.0, 1.0)","(0.050111838, 0.3038086)",0.18975275611743386
2020-08-11,3,4,0.005610044826774209,0.1,"[23, 23]",[16],"[5, 1]","(0.0, 1.0)","(0.0, 0.1403238)",0.06848038654678362
2020-08-11,3,4,0.005610044826774209,0.1,"[23, 23]",[16],"[5, 1]","(0.0, 1.0)","(0.0, 0.8316888)",0.145551176148384
2020-08-12,3,4,0.005610044826774209,0.1,"[23, 23]",[16],"[5, 1]","(0.0, 1.0)","(0.0, 0.36013877)",0.1608512721984122
2020-08-12,3,4,0.009875755105571735,0.1,"[12, 12]",[26],"[7, 1]","(0.0, 1.0)","(0.0, 0.50801885)",0.059531712771211574
2020-08-12,3,4,0.009875755105571735,0.1,"[12, 12]",[26],"[7, 1]","(0.0, 1.0)","(0.0076088198, 0.08865601)",0.10022455415058089
2020-08-12,3,4,0.009875755105571735,0.1,"[12, 12]",[26],"[7, 1]","(0.0, 1.0)","(0.0, 0.4336174)",0.14844393558549698
2020-08-12,3,4,0.0033913051737523036,0.1,[15],"[9, 9]","[7, 1]","(0.0, 1.0)","(0.0, 0.40089834)",0.15272718650136
2020-08-12,3,4,0.0033913051737523036,0.1,[15],"[9, 9]","[7, 1]","(0.0, 1.0)","(0.0, 0.09084672)",0.05935601029707458
2020-08-12,3,4,0.0033913051737523036,0.1,[15],"[9, 9]","[7, 1]","(0.0, 1.0)","(0.0, 0.108593926)",0.13674632942861403
2020-08-12,3,4,0.0019387967591976386,0.1,[18],[10],[1],"(0.0, 1.0)","(0.0, 1.0)",0.11534557170064139
2020-08-12,3,4,0.0019387967591976386,0.1,[18],[10],[1],"(0.0, 1.0)","(0.0, 0.6419107)",0.060794791032519196
2020-08-12,3,4,0.0019387967591976386,0.1,[18],[10],[1],"(0.0, 1.0)","(0.0, 0.5764619)",0.06986033833630131
